player.x player.y time target.x target.y target.r insideTarget?
1057 26 1330681010131 720 800 20 0
1048 119 1330681010162 720 800 20 0
1041 232 1330681010191 720 800 20 0
1043 371 1330681010223 720 800 20 0
1058 523 1330681010251 720 800 20 0
1083 668 1330681010283 720 800 20 0
1112 795 1330681010312 720 800 20 0
1139 891 1330681010343 720 800 20 0
1149 887 1330681010372 720 800 20 0
1149 887 1330681010404 720 800 20 0
1149 887 1330681010433 720 800 20 0
1149 887 1330681010464 720 800 20 0
1149 887 1330681010492 720 800 20 0
1149 887 1330681010521 720 800 20 0
1149 887 1330681010553 720 800 20 0
1149 887 1330681010581 720 800 20 0
1149 887 1330681010613 720 800 20 0
1149 887 1330681010641 720 800 20 0
1144 730 1330681010673 720 800 20 0
1140 594 1330681010702 720 800 20 0
1145 423 1330681010734 720 800 20 0
1162 256 1330681010762 720 800 20 0
1188 111 1330681010794 720 800 20 0
1217 15 1330681010822 720 800 20 0
1223 21 1330681010851 720 800 20 0
1223 21 1330681010883 720 800 20 0
1223 21 1330681010911 720 800 20 0
1223 21 1330681010941 720 800 20 0
1287 4 1330681010973 720 800 20 0
1298 10 1330681011001 720 800 20 0
1333 67 1330681011033 720 800 20 0
1371 113 1330681011062 720 800 20 0
1404 155 1330681011094 720 800 20 0
1406 192 1330681011122 720 800 20 0
1407 213 1330681011151 720 800 20 0
1407 213 1330681011183 720 800 20 0
1407 213 1330681011211 720 800 20 0
1407 213 1330681011243 720 800 20 0
1407 213 1330681011271 720 800 20 0
1407 213 1330681011303 720 800 20 0
1407 236 1330681011332 720 800 20 0
1405 235 1330681011364 720 800 20 0
1377 233 1330681011392 720 800 20 0
1298 234 1330681011424 720 800 20 0
1229 234 1330681011452 720 800 20 0
1150 235 1330681011481 720 800 20 0
1062 233 1330681011513 720 800 20 0
964 222 1330681011541 720 800 20 0
831 209 1330681011573 720 800 20 0
748 204 1330681011601 720 800 20 0
635 197 1330681011633 720 800 20 0
521 192 1330681011662 720 800 20 0
412 193 1330681011693 720 800 20 0
311 191 1330681011722 720 800 20 0
154 198 1330681011772 720 800 20 0
134 201 1330681011781 720 800 20 0
63 215 1330681011811 720 800 20 0
6 226 1330681011841 720 800 20 0
2 233 1330681011871 720 800 20 0
11 242 1330681011901 720 800 20 0
11 242 1330681011931 720 800 20 0
11 242 1330681011961 720 800 20 0
11 242 1330681011991 720 800 20 0
11 242 1330681012021 720 800 20 0
11 242 1330681012051 720 800 20 0
11 242 1330681012081 720 800 20 0
11 242 1330681012111 720 800 20 0
11 242 1330681012141 720 800 20 0
11 242 1330681012171 720 800 20 0
19 240 1330681012201 720 800 20 0
48 233 1330681012231 720 800 20 0
160 221 1330681012261 720 800 20 0
284 204 1330681012291 720 800 20 0
414 186 1330681012321 720 800 20 0
555 172 1330681012351 720 800 20 0
701 163 1330681012381 720 800 20 0
849 154 1330681012411 720 800 20 0
991 151 1330681012441 720 800 20 0
1125 153 1330681012471 720 800 20 0
1240 160 1330681012501 720 800 20 0
1333 173 1330681012531 720 800 20 0
