Subject_ID,Group,Trial_Num,Segment_Num,N_Points,Duration_s,Peak_Velocity,Mean_Velocity,N_Submovements,SPARC
01,Aged_Control,1,1,85,2.52,1157.7036657874821,276.8551994677635,8,-1.700156335836787
01,Aged_Control,1,2,75,2.22,1652.6914076405444,329.3484062472878,5,-1.4735365786422263
01,Aged_Control,1,3,74,2.19,1072.5100362130763,341.38541983506406,7,-1.7106410008270225
01,Aged_Control,1,4,70,2.07,1856.6696588844811,364.7313959941241,5,-1.5462838234511584
01,Aged_Control,1,5,74,2.19,1342.054809279826,313.6608688427849,5,-1.5205359174957265
01,Aged_Control,1,6,68,2.01,1822.8488082607864,361.20123119470225,5,-1.452018461898333
01,Aged_Control,1,7,69,2.04,1523.9750654128145,332.2860616960207,5,-1.6862697852343738
01,Aged_Control,1,8,63,1.86,1961.4337159899749,390.57256997813266,3,-1.4480011944959619
01,Aged_Control,1,9,84,2.49,1389.7441810955352,303.824237561215,8,-1.815779831752847
01,Aged_Control,1,10,67,1.98,1905.6203422741135,359.330774558267,2,-1.5826960507699157
01,Aged_Control,1,11,80,2.37,1567.0212364724189,321.6136992911993,6,-1.6911621859090058
01,Aged_Control,1,12,99,2.94,2022.2374846798907,277.1332902502264,5,-1.6667794223920707
01,Aged_Control,1,13,97,2.88,1392.4399049470328,277.0065507476693,8,-1.590400574775186
01,Aged_Control,1,14,76,2.25,1809.6193583796055,323.0674661257106,5,-1.6680224279406362
01,Aged_Control,1,15,79,2.339,1517.0329228098167,301.4726595395775,6,-1.4298486951838174
01,Aged_Control,1,16,83,2.46,2004.4395171163906,284.12066148369604,5,-1.4616116204036946
01,Aged_Control,1,17,98,2.91,1500.4628915401047,250.05949017197236,8,-1.7091832687765778
01,Aged_Control,1,18,75,2.22,2015.2887854818434,318.9809960643857,4,-1.551466112950586
01,Aged_Control,1,19,84,2.49,1552.2385269166698,286.3070327976858,7,-1.477923515051958
01,Aged_Control,1,20,81,2.4,1817.3546098045294,306.94942072174246,6,-1.7294253114417812
01,Aged_Control,1,21,120,3.57,1527.707069070801,216.90358959901405,11,-1.8978806431406923
01,Aged_Control,1,22,107,3.18,1963.9104980737889,259.5981953021352,11,-1.482801606290018
01,Aged_Control,1,23,108,3.21,1440.8716497700636,249.22556637133636,9,-1.612378248929422
01,Aged_Control,1,24,116,3.45,1664.164788848885,220.62294955789585,9,-1.5721036100378936
01,Aged_Control,1,25,119,3.54,1319.3011618108862,207.12926586854454,13,-1.764084132805348
01,Aged_Control,1,26,138,4.11,1600.3471845543766,181.03910782939434,9,-1.599341792006146
01,Aged_Control,1,27,161,4.8,1096.078869830492,151.23171673347883,8,-1.856521040657403
01,Aged_Control,1,28,92,2.73,1760.7605679869616,273.8703017969125,7,-1.5467484852652325
01,Aged_Control,1,29,189,5.64,975.8187445536292,132.68148017057982,23,-1.8436124395405555
01,Aged_Control,1,30,93,2.76,1696.4832906797365,270.86555356618874,8,-1.8110957790750641
01,Aged_Control,1,31,67,1.98,1356.5683830083071,287.96531409022185,5,-1.6608356713361447
01,Aged_Control,1,32,74,2.19,1584.7362206023065,284.80862044969166,5,-1.7211476100390648
01,Aged_Control,1,33,80,2.37,1355.3392359274644,261.71804564066395,8,-1.6849227940741907
01,Aged_Control,1,34,63,1.86,1523.3369803019793,308.30106432388095,6,-1.6371859390851362
01,Aged_Control,1,35,69,2.04,1219.5172086617824,286.8264645725203,6,-1.5489557734461494
